android.support.v4.app.ShareCompat=1
android.support.v4.view.animation.FastOutSlowInInterpolator=1
android.support.v4.graphics.drawable.DrawableCompat=2
android.support.v7.widget.SearchView=1
android.support.v4.app.TaskStackBuilder=4
android.support.v4.view.ViewPager=2
android.support.v4.app.NavUtils=2
android.support.v4.view.GravityCompat=4
android.support.design.widget.TabLayout=1
android.support.v4.view.MotionEventCompat=2
android.support.v4.view.ViewCompat=10
android.support.v7.app.ActionBar=1
android.support.v13.app.FragmentPagerAdapter=1
android.support.v4.widget.DrawerLayout=4
android.support.v4.widget.SwipeRefreshLayout=2
android.support.design.widget.FloatingActionButton=2
android.support.v7.widget.CardView=1
android.support.v4.content.ContextCompat=2
android.support.v4.view.VelocityTrackerCompat=1
android.support.v4.view.PagerAdapter=1
android.support.v7.app.ActionBarActivity=1
android.support.v4.widget.ScrollerCompat=1
android.support.v4.app.ActivityCompat=1
android.support.v7.app.AppCompatActivity=4
android.support.v4.text.TextUtilsCompat=1
android.support.v7.widget.Toolbar=9
android.support.v4.app.NotificationCompat=5
android.support.v4.widget.SimpleCursorAdapter=1
android.support.v4.app.NotificationManagerCompat=2
