android.support.v4.view.PagerTabStrip=1
android.support.v4.app.FragmentManager=1
android.support.v4.app.FragmentPagerAdapter=1
android.support.v4.app.FragmentActivity=1
android.support.v4.app.Fragment=2
android.support.v4.view.ViewPager=1
android.support.v4.app.DialogFragment=1
