android.support.v4.app.ShareCompat=1
android.support.v4.widget.EdgeEffectCompat=1
android.support.v4.content.res.ResourcesCompat=1
android.support.v4.view.MenuItemCompat=2
android.support.v4.content.ContextCompat=3
android.support.v4.app.TaskStackBuilder=1
android.support.v7.widget.PopupMenu=1
android.support.v4.view.ScaleGestureDetectorCompat=1
android.support.v7.widget.AppCompatCheckBox=1
android.support.v4.widget.ScrollerCompat=1
android.support.v7.app.AppCompatActivity=3
android.support.v7.widget.AppCompatTextView=1
android.support.v7.app.AppCompatDelegate=1
android.support.v4.content.FileProvider=2
android.support.v4.app.NavUtils=2
android.support.v7.app.AlertDialog=1
android.support.v4.view.GestureDetectorCompat=1
android.support.v4.view.ViewCompat=1
android.support.v7.widget.GridLayout=1
android.support.v7.app.ActionBar=3
android.support.v7.widget.AppCompatEditText=1
android.support.v7.widget.AppCompatSpinner=1
