android.support.v4.view.WindowCompat=1
android.support.design.widget.AppBarLayout=1
android.support.v7.widget.SearchView=9
android.support.v7.app.MediaRouteControllerDialogFragment=1
android.support.v4.content.AsyncTaskLoader=1
android.support.v4.view.ViewPager=4
android.support.v4.media.session.MediaSessionCompat=1
android.support.v4.app.NavUtils=2
android.support.design.widget.TabLayout=3
android.support.v4.view.MotionEventCompat=1
android.support.v4.media.MediaMetadataCompat=1
android.support.v4.app.FragmentPagerAdapter=3
android.support.v4.util.ArrayMap=9
android.support.v7.widget.helper.ItemTouchHelper=5
android.support.v4.view.ViewCompat=1
android.support.v7.app.ActionBar=1
android.support.v4.media.session.PlaybackStateCompat=1
android.support.v4.widget.DrawerLayout=2
android.support.v7.app.MediaRouteActionProvider=1
android.support.v4.view.ActionProvider=1
android.support.v4.view.MenuItemCompat=13
android.support.v4.content.ContextCompat=10
android.support.v4.app.Fragment=17
android.support.v7.app.NotificationCompat=1
android.support.v7.app.ActionBarActivity=3
android.support.v7.widget.LinearLayoutManager=2
android.support.v4.app.ActivityCompat=4
android.support.v7.app.AppCompatActivity=12
android.support.v7.widget.RecyclerView=6
android.support.v7.media.MediaRouter=3
android.support.v4.app.FragmentManager=6
android.support.v7.app.AlertDialog=17
android.support.v4.app.ListFragment=8
android.support.v4.app.FragmentStatePagerAdapter=1
android.support.v7.widget.Toolbar=2
android.support.v4.app.FragmentActivity=1
android.support.v7.app.MediaRouteChooserDialogFragment=1
android.support.v4.util.Pair=1
android.support.v4.app.NotificationCompat=4
android.support.v4.view.GestureDetectorCompat=1
android.support.design.widget.Snackbar=4
android.support.v4.app.FragmentTransaction=1
android.support.v7.app.ActionBarDrawerToggle=2
android.support.v7.widget.SimpleItemAnimator=2
