android.support.v4.view.WindowCompat=1
android.support.v4.content.Loader=1
android.support.v7.app.AppCompatDialogFragment=1
android.support.v7.view.ActionMode.Callback=1
android.support.v7.view.ActionMode=1
android.support.v4.app.Fragment=8
android.support.v4.content.AsyncTaskLoader=1
android.support.v4.view.ViewPager=3
android.support.v7.app.ActionBarActivity=1
android.support.v4.content.LocalBroadcastManager=1
android.support.v4.app.DialogFragment=3
android.support.v7.app.AppCompatActivity=3
android.support.v7.app.AppCompatDelegate=1
android.support.v4.content.FileProvider=1
android.support.v4.app.FragmentManager=1
android.support.v4.app.FragmentStatePagerAdapter=1
android.support.v7.widget.Toolbar=1
android.support.v4.app.NotificationCompat=1
android.support.v4.app.FragmentTransaction=5
android.support.v7.app.ActionBar=3
android.support.v4.app.LoaderManager=1
